,state,state_po,district,county_fips,party_simplified,votes,totalVotes,votePercentage
339,ARKANSAS,AR,4,5109.0,DEMOCRAT,574,4195,0.1368295589988081
340,ARKANSAS,AR,4,5109.0,LIBERTARIAN,91,4195,0.02169249106078665
341,ARKANSAS,AR,4,5109.0,REPUBLICAN,3530,4195,0.8414779499404053
342,ARKANSAS,AR,4,5113.0,DEMOCRAT,1089,8406,0.12955032119914348
343,ARKANSAS,AR,4,5113.0,LIBERTARIAN,298,8406,0.03545086842731383
344,ARKANSAS,AR,4,5113.0,REPUBLICAN,7019,8406,0.8349988103735427
345,ARKANSAS,AR,4,5127.0,DEMOCRAT,449,3517,0.12766562411145863
346,ARKANSAS,AR,4,5127.0,LIBERTARIAN,91,3517,0.02587432470855843
347,ARKANSAS,AR,4,5127.0,REPUBLICAN,2977,3517,0.8464600511799829
348,ARKANSAS,AR,4,5131.0,DEMOCRAT,700,5637,0.12417952811779315
349,ARKANSAS,AR,4,5131.0,LIBERTARIAN,181,5637,0.03210927798474366
350,ARKANSAS,AR,4,5131.0,REPUBLICAN,4756,5637,0.8437111938974632
351,ARKANSAS,AR,4,5133.0,DEMOCRAT,1011,5122,0.197383834439672
352,ARKANSAS,AR,4,5133.0,LIBERTARIAN,141,5122,0.02752830925419758
353,ARKANSAS,AR,4,5133.0,REPUBLICAN,3970,5122,0.7750878563061304
354,ARKANSAS,AR,4,5139.0,DEMOCRAT,5214,16333,0.3192310047143819
355,ARKANSAS,AR,4,5139.0,LIBERTARIAN,426,16333,0.026082164942141675
356,ARKANSAS,AR,4,5139.0,REPUBLICAN,10693,16333,0.6546868303434764
357,ARKANSAS,AR,4,5149.0,DEMOCRAT,1206,6645,0.18148984198645599
358,ARKANSAS,AR,4,5149.0,LIBERTARIAN,211,6645,0.03175319789315274
359,ARKANSAS,AR,4,5149.0,REPUBLICAN,5228,6645,0.7867569601203913
360,CALIFORNIA,CA,1,6007.0,DEMOCRAT,52112,102041,0.5106966807459746
361,CALIFORNIA,CA,1,6007.0,REPUBLICAN,49929,102041,0.4893033192540253
362,CALIFORNIA,CA,1,6021.0,DEMOCRAT,220,1031,0.2133850630455868
363,CALIFORNIA,CA,1,6021.0,REPUBLICAN,811,1031,0.7866149369544132
364,CALIFORNIA,CA,1,6035.0,DEMOCRAT,3000,11892,0.2522704339051463
365,CALIFORNIA,CA,1,6035.0,REPUBLICAN,8892,11892,0.7477295660948536
366,CALIFORNIA,CA,1,6049.0,DEMOCRAT,1290,4315,0.2989571263035921
367,CALIFORNIA,CA,1,6049.0,REPUBLICAN,3025,4315,0.7010428736964078
368,CALIFORNIA,CA,1,6057.0,DEMOCRAT,29658,54572,0.543465513450121
369,CALIFORNIA,CA,1,6057.0,REPUBLICAN,24914,54572,0.45653448654987905
370,CALIFORNIA,CA,1,6061.0,DEMOCRAT,11092,27922,0.3972494806962252
371,CALIFORNIA,CA,1,6061.0,REPUBLICAN,16830,27922,0.6027505193037748
372,CALIFORNIA,CA,1,6063.0,DEMOCRAT,4737,11278,0.4200212803688597
373,CALIFORNIA,CA,1,6063.0,REPUBLICAN,6541,11278,0.5799787196311402
374,CALIFORNIA,CA,1,6089.0,DEMOCRAT,31851,91834,0.3468323278959862
375,CALIFORNIA,CA,1,6089.0,REPUBLICAN,59983,91834,0.6531676721040137
376,CALIFORNIA,CA,1,6091.0,DEMOCRAT,801,1930,0.4150259067357513
377,CALIFORNIA,CA,1,6091.0,REPUBLICAN,1129,1930,0.5849740932642487
378,CALIFORNIA,CA,1,6093.0,DEMOCRAT,10198,23353,0.43668907634993365
379,CALIFORNIA,CA,1,6093.0,REPUBLICAN,13155,23353,0.5633109236500664
380,CALIFORNIA,CA,1,6103.0,DEMOCRAT,9507,28589,0.33254048760012594
381,CALIFORNIA,CA,1,6103.0,REPUBLICAN,19082,28589,0.6674595123998741
382,CALIFORNIA,CA,2,6015.0,DEMOCRAT,5103,11192,0.4559506790564689
383,CALIFORNIA,CA,2,6015.0,REPUBLICAN,6089,11192,0.5440493209435311
384,CALIFORNIA,CA,2,6023.0,DEMOCRAT,46089,66745,0.6905236347291932
385,CALIFORNIA,CA,2,6023.0,REPUBLICAN,20656,66745,0.3094763652708068
386,CALIFORNIA,CA,2,6041.0,DEMOCRAT,124729,150092,0.8310169762545638
387,CALIFORNIA,CA,2,6041.0,REPUBLICAN,25363,150092,0.16898302374543614
388,CALIFORNIA,CA,2,6045.0,DEMOCRAT,29925,42731,0.7003112494441974
389,CALIFORNIA,CA,2,6045.0,REPUBLICAN,12806,42731,0.2996887505558026
390,CALIFORNIA,CA,2,6097.0,DEMOCRAT,85568,111864,0.7649288421654866
391,CALIFORNIA,CA,2,6097.0,REPUBLICAN,26296,111864,0.23507115783451335
392,CALIFORNIA,CA,2,6105.0,DEMOCRAT,3021,6131,0.49274180394715383
393,CALIFORNIA,CA,2,6105.0,REPUBLICAN,3110,6131,0.5072581960528462
394,CALIFORNIA,CA,3,6011.0,DEMOCRAT,3348,7676,0.4361646690984888
395,CALIFORNIA,CA,3,6011.0,REPUBLICAN,4328,7676,0.5638353309015112
396,CALIFORNIA,CA,3,6021.0,DEMOCRAT,3784,10099,0.374690563422121
397,CALIFORNIA,CA,3,6021.0,REPUBLICAN,6315,10099,0.625309436577879
398,CALIFORNIA,CA,3,6033.0,DEMOCRAT,6659,12658,0.5260704692684468
399,CALIFORNIA,CA,3,6033.0,REPUBLICAN,5999,12658,0.4739295307315532
400,CALIFORNIA,CA,3,6067.0,DEMOCRAT,6708,15529,0.43196599909846095
401,CALIFORNIA,CA,3,6067.0,REPUBLICAN,8821,15529,0.5680340009015391
402,CALIFORNIA,CA,3,6095.0,DEMOCRAT,74688,132347,0.5643346656894376
403,CALIFORNIA,CA,3,6095.0,REPUBLICAN,57659,132347,0.43566533431056237
404,CALIFORNIA,CA,3,6101.0,DEMOCRAT,18333,41884,0.4377089103237513
405,CALIFORNIA,CA,3,6101.0,REPUBLICAN,23551,41884,0.5622910896762486
406,CALIFORNIA,CA,3,6113.0,DEMOCRAT,51025,72537,0.7034341094889505
407,CALIFORNIA,CA,3,6113.0,REPUBLICAN,21512,72537,0.29656589051104953
408,CALIFORNIA,CA,3,6115.0,DEMOCRAT,11498,29258,0.3929865335976485
409,CALIFORNIA,CA,3,6115.0,REPUBLICAN,17760,29258,0.6070134664023515
410,CALIFORNIA,CA,4,6003.0,DEMOCRAT,473,737,0.6417910447761194
411,CALIFORNIA,CA,4,6003.0,REPUBLICAN,264,737,0.3582089552238806
412,CALIFORNIA,CA,4,6005.0,DEMOCRAT,8259,22092,0.3738457360130364
413,CALIFORNIA,CA,4,6005.0,REPUBLICAN,13833,22092,0.6261542639869636
414,CALIFORNIA,CA,4,6009.0,DEMOCRAT,10333,26896,0.3841835217132659
415,CALIFORNIA,CA,4,6009.0,REPUBLICAN,16563,26896,0.6158164782867341
416,CALIFORNIA,CA,4,6017.0,DEMOCRAT,51597,115307,0.44747500151768754
417,CALIFORNIA,CA,4,6017.0,REPUBLICAN,63710,115307,0.5525249984823124
418,CALIFORNIA,CA,4,6019.0,DEMOCRAT,2048,8581,0.23866682204871228
419,CALIFORNIA,CA,4,6019.0,REPUBLICAN,6533,8581,0.7613331779512877
420,CALIFORNIA,CA,4,6039.0,DEMOCRAT,5428,16120,0.3367245657568238
421,CALIFORNIA,CA,4,6039.0,REPUBLICAN,10692,16120,0.6632754342431761
422,CALIFORNIA,CA,4,6043.0,DEMOCRAT,4195,10101,0.4153054153054153
423,CALIFORNIA,CA,4,6043.0,REPUBLICAN,5906,10101,0.5846945846945847
424,CALIFORNIA,CA,4,6057.0,DEMOCRAT,7508,10003,0.7505748275517344
425,CALIFORNIA,CA,4,6057.0,REPUBLICAN,2495,10003,0.2494251724482655
426,CALIFORNIA,CA,4,6061.0,DEMOCRAT,92678,202057,0.45867255279450847
427,CALIFORNIA,CA,4,6061.0,REPUBLICAN,109379,202057,0.5413274472054915
428,CALIFORNIA,CA,4,6109.0,DEMOCRAT,12212,30128,0.40533722782793413
429,CALIFORNIA,CA,4,6109.0,REPUBLICAN,17916,30128,0.5946627721720659
430,CALIFORNIA,CA,5,6013.0,DEMOCRAT,37068,48034,0.7717033767747845
431,CALIFORNIA,CA,5,6013.0,REPUBLICAN,10966,48034,0.22829662322521546
432,CALIFORNIA,CA,5,6033.0,DEMOCRAT,9260,15658,0.5913909822454975
433,CALIFORNIA,CA,5,6033.0,REPUBLICAN,6398,15658,0.4086090177545025
434,CALIFORNIA,CA,5,6055.0,DEMOCRAT,52204,70676,0.7386382930556341
435,CALIFORNIA,CA,5,6055.0,REPUBLICAN,18472,70676,0.26136170694436583
436,CALIFORNIA,CA,5,6095.0,DEMOCRAT,55271,70623,0.7826203927898843
437,CALIFORNIA,CA,5,6095.0,REPUBLICAN,15352,70623,0.21737960721011568
438,CALIFORNIA,CA,5,6097.0,DEMOCRAT,117430,151469,0.7752741485056348
439,CALIFORNIA,CA,5,6097.0,REPUBLICAN,34039,151469,0.2247258514943652
440,CALIFORNIA,CA,6,6067.0,DEMOCRAT,214776,290434,0.7395001962580139
441,CALIFORNIA,CA,6,6067.0,REPUBLICAN,75658,290434,0.2604998037419861
442,CALIFORNIA,CA,6,6113.0,DEMOCRAT,14872,22680,0.655731922398589
443,CALIFORNIA,CA,6,6113.0,REPUBLICAN,7808,22680,0.3442680776014109
444,CALIFORNIA,CA,7,6067.0,DEMOCRAT,217416,383965,0.5662391103355775
445,CALIFORNIA,CA,7,6067.0,REPUBLICAN,166549,383965,0.43376088966442256
446,CALIFORNIA,CA,8,6027.0,DEMOCRAT,4559,9261,0.4922794514631249
447,CALIFORNIA,CA,8,6027.0,REPUBLICAN,4702,9261,0.5077205485368751
448,CALIFORNIA,CA,8,6051.0,DEMOCRAT,3969,6602,0.6011814601635868
449,CALIFORNIA,CA,8,6051.0,REPUBLICAN,2633,6602,0.3988185398364132
450,CALIFORNIA,CA,8,6071.0,DEMOCRAT,115872,267248,0.43357480692091244
451,CALIFORNIA,CA,8,6071.0,REPUBLICAN,151376,267248,0.5664251930790876
452,CALIFORNIA,CA,9,6013.0,DEMOCRAT,58693,98598,0.5952757662427229
453,CALIFORNIA,CA,9,6013.0,REPUBLICAN,39905,98598,0.404724233757277
454,CALIFORNIA,CA,9,6067.0,DEMOCRAT,5256,12534,0.41933939684059357
455,CALIFORNIA,CA,9,6067.0,REPUBLICAN,7278,12534,0.5806606031594064
456,CALIFORNIA,CA,9,6077.0,DEMOCRAT,110303,191478,0.5760609573945832
457,CALIFORNIA,CA,9,6077.0,REPUBLICAN,81175,191478,0.4239390426054168
458,CALIFORNIA,CA,10,6077.0,DEMOCRAT,51362,91542,0.5610757903476
459,CALIFORNIA,CA,10,6077.0,REPUBLICAN,40180,91542,0.4389242096524
460,CALIFORNIA,CA,10,6099.0,DEMOCRAT,115503,210952,0.547532140012894
461,CALIFORNIA,CA,10,6099.0,REPUBLICAN,95449,210952,0.4524678599871061
462,CALIFORNIA,CA,11,6013.0,DEMOCRAT,271063,371356,0.7299276166266332
463,CALIFORNIA,CA,11,6013.0,REPUBLICAN,100293,371356,0.2700723833733668
464,CALIFORNIA,CA,12,6075.0,DEMOCRAT,362950,362950,1.0
465,CALIFORNIA,CA,13,6001.0,DEMOCRAT,327863,362818,0.9036569299207867
466,CALIFORNIA,CA,13,6001.0,REPUBLICAN,34955,362818,0.09634307007921326
467,CALIFORNIA,CA,13,6075.0,DEMOCRAT,0,0,
468,CALIFORNIA,CA,13,6075.0,REPUBLICAN,0,0,
469,CALIFORNIA,CA,14,6075.0,DEMOCRAT,39670,48849,0.8120944133963848
470,CALIFORNIA,CA,14,6075.0,REPUBLICAN,9179,48849,0.18790558660361523
471,CALIFORNIA,CA,14,6081.0,DEMOCRAT,238630,302156,0.7897576086524841
472,CALIFORNIA,CA,14,6081.0,REPUBLICAN,63526,302156,0.21024239134751585
473,CALIFORNIA,CA,15,6001.0,DEMOCRAT,213922,299624,0.7139681734440498
474,CALIFORNIA,CA,15,6001.0,REPUBLICAN,85702,299624,0.2860318265559501
475,CALIFORNIA,CA,15,6013.0,DEMOCRAT,29069,43077,0.6748148664020243
476,CALIFORNIA,CA,15,6013.0,REPUBLICAN,14008,43077,0.32518513359797574
477,CALIFORNIA,CA,16,6019.0,DEMOCRAT,62650,90639,0.6912035657939739
478,CALIFORNIA,CA,16,6019.0,REPUBLICAN,27989,90639,0.3087964342060261
479,CALIFORNIA,CA,16,6039.0,DEMOCRAT,16427,36700,0.44760217983651224
480,CALIFORNIA,CA,16,6039.0,REPUBLICAN,20273,36700,0.5523978201634877
481,CALIFORNIA,CA,16,6047.0,DEMOCRAT,49613,89390,0.5550173397471753
482,CALIFORNIA,CA,16,6047.0,REPUBLICAN,39777,89390,0.4449826602528247
483,CALIFORNIA,CA,17,6001.0,DEMOCRAT,53654,75809,0.7077523776860267
484,CALIFORNIA,CA,17,6001.0,REPUBLICAN,22155,75809,0.2922476223139733
485,CALIFORNIA,CA,17,6085.0,DEMOCRAT,158483,221527,0.7154116653951889
486,CALIFORNIA,CA,17,6085.0,REPUBLICAN,63044,221527,0.28458833460481114
487,CALIFORNIA,CA,18,6081.0,DEMOCRAT,59967,59967,1.0
488,CALIFORNIA,CA,18,6085.0,DEMOCRAT,254738,254738,1.0
489,CALIFORNIA,CA,18,6087.0,DEMOCRAT,29434,29434,1.0
490,CALIFORNIA,CA,19,6085.0,DEMOCRAT,224385,313027,0.7168231494407831
491,CALIFORNIA,CA,19,6085.0,REPUBLICAN,88642,313027,0.28317685055921693
492,CALIFORNIA,CA,20,6053.0,DEMOCRAT,122057,163348,0.7472206577368563
493,CALIFORNIA,CA,20,6053.0,REPUBLICAN,41291,163348,0.2527793422631437
494,CALIFORNIA,CA,20,6069.0,DEMOCRAT,18735,28147,0.6656126763065335
495,CALIFORNIA,CA,20,6069.0,REPUBLICAN,9412,28147,0.33438732369346647
496,CALIFORNIA,CA,20,6085.0,DEMOCRAT,5158,6761,0.7629048957254844
497,CALIFORNIA,CA,20,6085.0,REPUBLICAN,1603,6761,0.2370951042745156
498,CALIFORNIA,CA,20,6087.0,DEMOCRAT,90946,110298,0.824548042575568
499,CALIFORNIA,CA,20,6087.0,REPUBLICAN,19352,110298,0.17545195742443198
500,CALIFORNIA,CA,21,6019.0,DEMOCRAT,28344,58439,0.4850185663683499
501,CALIFORNIA,CA,21,6019.0,REPUBLICAN,30095,58439,0.51498143363165
502,CALIFORNIA,CA,21,6029.0,DEMOCRAT,36653,62714,0.5844468539719999
503,CALIFORNIA,CA,21,6029.0,REPUBLICAN,26061,62714,0.41555314602800014
504,CALIFORNIA,CA,21,6031.0,DEMOCRAT,16611,43594,0.3810386750470248
505,CALIFORNIA,CA,21,6031.0,REPUBLICAN,26983,43594,0.6189613249529752
506,CALIFORNIA,CA,21,6107.0,DEMOCRAT,2798,5587,0.5008054412027922
