,state,state_po,party_simplified,votes,county_fips,jurisdiction_fips,year,special,writein,state_fips,state_cen,state_ic,readme_check,magnitude,totalVotes,totalStateVotes,votePercentage
117,OREGON,OR,LIBERTARIAN,33603,33034331.0,33034331.0,1626100,0,0,33005,74060,57960,0,805,1378570,2304718,0.014580091794310628
118,OREGON,OR,OTHER,18990,17275313.0,17275313.0,850420,0,0,17261,38732,30312,0,421,937034,2304718,0.008239619771269196
119,OREGON,OR,REPUBLICAN,966786,54785689.0,54785689.0,2696700,0,0,54735,122820,96120,0,1335,2304718,2304718,0.41948125540738607
120,PENNSYLVANIA,PA,DEMOCRAT,3343174,386429071.0,386429071.0,18557740,0,0,385854,211301,128618,0,9187,6776255,6776255,0.4933660259243491
121,PENNSYLVANIA,PA,REPUBLICAN,3433081,386429071.0,386429071.0,18557740,0,0,385854,211301,128618,0,9187,6776255,6776255,0.5066339740756509
122,RHODE ISLAND,RI,DEMOCRAT,312636,60860511.0,6059712320322.0,2805780,0,0,61116,20835,6945,0,1389,486287,486287,0.6429042931437607
123,RHODE ISLAND,RI,OTHER,63757,59144232.0,5888081650242.0,2727000,0,0,59400,20250,6750,0,1350,222307,486287,0.13110981786475887
124,RHODE ISLAND,RI,REPUBLICAN,109894,31288395.0,3115671495201.0,1442280,0,0,31416,10710,3570,0,714,263980,486287,0.22598588899148034
125,SOUTH CAROLINA,SC,DEMOCRAT,1076799,320557680.0,320557680.0,14374320,0,0,320220,405612,341568,0,7116,2503382,2503382,0.4301377097063093
126,SOUTH CAROLINA,SC,OTHER,13899,128531937.0,128531937.0,5763060,0,0,128385,162621,136944,0,2853,1013616,2503382,0.005552089133819768
127,SOUTH CAROLINA,SC,REPUBLICAN,1412684,320557680.0,320557680.0,14374320,0,0,320220,405612,341568,0,7116,2503382,2503382,0.564310201159871
128,SOUTH DAKOTA,SD,LIBERTARIAN,75748,31928217.0,31928217.0,1399860,0,0,31878,31185,25641,0,693,397732,397732,0.19044985065320366
129,SOUTH DAKOTA,SD,REPUBLICAN,321984,31928217.0,31928217.0,1399860,0,0,31878,31185,25641,0,693,397732,397732,0.8095501493467964
130,TENNESSEE,TN,DEMOCRAT,1105537,94002336.0,94002336.0,4031920,0,0,93812,123752,107784,0,1996,2841744,2841744,0.38903469137262187
131,TENNESSEE,TN,NONPARTISAN,43,71736324.0,71736324.0,3078480,0,1524,71628,94488,82296,0,1524,1473968,2841744,1.5131553018146602e-05
132,TENNESSEE,TN,OTHER,50909,117706199.0,117706199.0,5047980,0,0,117453,154938,134946,0,2499,2253865,2841744,0.017914703083740127
133,TENNESSEE,TN,REPUBLICAN,1685255,85253480.0,85253480.0,3656200,0,0,85070,112220,97740,0,1810,2589575,2841744,0.5930354739906198
134,TEXAS,TX,DEMOCRAT,4895290,443737481.0,443737481.0,18586020,0,0,441648,680874,450849,590,9201,11089330,11089330,0.44144145768950876
