,state,state_po,district,county_fips,party_simplified,votes
102,ALABAMA,AL,5,1083.0,REPUBLICAN,37371
103,ALABAMA,AL,5,1089.0,REPUBLICAN,121634
104,ALABAMA,AL,5,1103.0,REPUBLICAN,41646
105,ALABAMA,AL,6,1007.0,REPUBLICAN,7744
106,ALABAMA,AL,6,1009.0,REPUBLICAN,22877
107,ALABAMA,AL,6,1021.0,REPUBLICAN,16111
108,ALABAMA,AL,6,1037.0,REPUBLICAN,3774
109,ALABAMA,AL,6,1073.0,REPUBLICAN,135207
110,ALABAMA,AL,6,1117.0,REPUBLICAN,88447
111,ALABAMA,AL,7,1023.0,DEMOCRAT,3894
112,ALABAMA,AL,7,1025.0,DEMOCRAT,4855
113,ALABAMA,AL,7,1047.0,DEMOCRAT,13294
114,ALABAMA,AL,7,1063.0,DEMOCRAT,4033
115,ALABAMA,AL,7,1065.0,DEMOCRAT,5353
116,ALABAMA,AL,7,1073.0,DEMOCRAT,110212
117,ALABAMA,AL,7,1085.0,DEMOCRAT,5238
118,ALABAMA,AL,7,1091.0,DEMOCRAT,6399
119,ALABAMA,AL,7,1101.0,DEMOCRAT,18252
120,ALABAMA,AL,7,1105.0,DEMOCRAT,4119
121,ALABAMA,AL,7,1107.0,DEMOCRAT,5070
122,ALABAMA,AL,7,1119.0,DEMOCRAT,5037
123,ALABAMA,AL,7,1125.0,DEMOCRAT,35642
124,ALABAMA,AL,7,1131.0,DEMOCRAT,4344
125,ALASKA,AK,0,nan,DEMOCRAT,159856
126,ALASKA,AK,0,nan,REPUBLICAN,192126
127,ARIZONA,AZ,1,4001.0,DEMOCRAT,23605
128,ARIZONA,AZ,1,4001.0,REPUBLICAN,11110
129,ARIZONA,AZ,1,4005.0,DEMOCRAT,44842
130,ARIZONA,AZ,1,4005.0,REPUBLICAN,26800
131,ARIZONA,AZ,1,4007.0,DEMOCRAT,4902
132,ARIZONA,AZ,1,4007.0,REPUBLICAN,4427
133,ARIZONA,AZ,1,4009.0,DEMOCRAT,4436
134,ARIZONA,AZ,1,4009.0,REPUBLICAN,10153
135,ARIZONA,AZ,1,4011.0,DEMOCRAT,1380
136,ARIZONA,AZ,1,4011.0,REPUBLICAN,2226
137,ARIZONA,AZ,1,4013.0,DEMOCRAT,554
138,ARIZONA,AZ,1,4013.0,REPUBLICAN,93
139,ARIZONA,AZ,1,4015.0,DEMOCRAT,265
140,ARIZONA,AZ,1,4015.0,REPUBLICAN,116
141,ARIZONA,AZ,1,4017.0,DEMOCRAT,24205
142,ARIZONA,AZ,1,4017.0,REPUBLICAN,26371
143,ARIZONA,AZ,1,4019.0,DEMOCRAT,32078
144,ARIZONA,AZ,1,4019.0,REPUBLICAN,37473
145,ARIZONA,AZ,1,4021.0,DEMOCRAT,43034
146,ARIZONA,AZ,1,4021.0,REPUBLICAN,48324
147,ARIZONA,AZ,1,4025.0,DEMOCRAT,9168
148,ARIZONA,AZ,1,4025.0,REPUBLICAN,9616
149,ARIZONA,AZ,2,4003.0,DEMOCRAT,24288
150,ARIZONA,AZ,2,4003.0,REPUBLICAN,34796
151,ARIZONA,AZ,2,4019.0,DEMOCRAT,185657
152,ARIZONA,AZ,2,4019.0,REPUBLICAN,136179
153,ARIZONA,AZ,3,4013.0,DEMOCRAT,56986
154,ARIZONA,AZ,3,4013.0,REPUBLICAN,40521
155,ARIZONA,AZ,3,4019.0,DEMOCRAT,80121
156,ARIZONA,AZ,3,4019.0,REPUBLICAN,34808
157,ARIZONA,AZ,3,4021.0,DEMOCRAT,139
158,ARIZONA,AZ,3,4021.0,REPUBLICAN,10
159,ARIZONA,AZ,3,4023.0,DEMOCRAT,13493
160,ARIZONA,AZ,3,4023.0,REPUBLICAN,5729
161,ARIZONA,AZ,3,4027.0,DEMOCRAT,23504
162,ARIZONA,AZ,3,4027.0,REPUBLICAN,14526
163,ARIZONA,AZ,4,4007.0,DEMOCRAT,4288
164,ARIZONA,AZ,4,4007.0,REPUBLICAN,13501
165,ARIZONA,AZ,4,4012.0,DEMOCRAT,2042
166,ARIZONA,AZ,4,4012.0,REPUBLICAN,5063
167,ARIZONA,AZ,4,4013.0,DEMOCRAT,10982
168,ARIZONA,AZ,4,4013.0,REPUBLICAN,23060
169,ARIZONA,AZ,4,4015.0,DEMOCRAT,23394
170,ARIZONA,AZ,4,4015.0,REPUBLICAN,76395
171,ARIZONA,AZ,4,4021.0,DEMOCRAT,31579
172,ARIZONA,AZ,4,4021.0,REPUBLICAN,57507
173,ARIZONA,AZ,4,4025.0,DEMOCRAT,38687
174,ARIZONA,AZ,4,4025.0,REPUBLICAN,81887
175,ARIZONA,AZ,4,4027.0,DEMOCRAT,9512
176,ARIZONA,AZ,4,4027.0,REPUBLICAN,20589
177,ARIZONA,AZ,5,4013.0,DEMOCRAT,183171
178,ARIZONA,AZ,5,4013.0,REPUBLICAN,262414
179,ARIZONA,AZ,6,4013.0,DEMOCRAT,199644
180,ARIZONA,AZ,6,4013.0,REPUBLICAN,217783
181,ARIZONA,AZ,7,4013.0,DEMOCRAT,165452
182,ARIZONA,AZ,7,4013.0,REPUBLICAN,50226
183,ARIZONA,AZ,8,4013.0,DEMOCRAT,170816
184,ARIZONA,AZ,8,4013.0,REPUBLICAN,251633
185,ARIZONA,AZ,9,4013.0,DEMOCRAT,217094
186,ARIZONA,AZ,9,4013.0,REPUBLICAN,135180
187,ARKANSAS,AR,1,5001.0,REPUBLICAN,5402
188,ARKANSAS,AR,1,5005.0,REPUBLICAN,18684
189,ARKANSAS,AR,1,5017.0,REPUBLICAN,3001
190,ARKANSAS,AR,1,5021.0,REPUBLICAN,4797
191,ARKANSAS,AR,1,5023.0,REPUBLICAN,11711
192,ARKANSAS,AR,1,5031.0,REPUBLICAN,34368
193,ARKANSAS,AR,1,5035.0,REPUBLICAN,12315
194,ARKANSAS,AR,1,5037.0,REPUBLICAN,6189
195,ARKANSAS,AR,1,5041.0,REPUBLICAN,3161
196,ARKANSAS,AR,1,5049.0,REPUBLICAN,4522
197,ARKANSAS,AR,1,5055.0,REPUBLICAN,15064
198,ARKANSAS,AR,1,5063.0,REPUBLICAN,13352
199,ARKANSAS,AR,1,5065.0,REPUBLICAN,5255
200,ARKANSAS,AR,1,5067.0,REPUBLICAN,4453
201,ARKANSAS,AR,1,5069.0,REPUBLICAN,348
202,ARKANSAS,AR,1,5075.0,REPUBLICAN,5428
203,ARKANSAS,AR,1,5077.0,REPUBLICAN,1862
204,ARKANSAS,AR,1,5079.0,REPUBLICAN,3373
205,ARKANSAS,AR,1,5085.0,REPUBLICAN,28307
206,ARKANSAS,AR,1,5093.0,REPUBLICAN,10189
207,ARKANSAS,AR,1,5095.0,REPUBLICAN,2336
208,ARKANSAS,AR,1,5107.0,REPUBLICAN,4350
209,ARKANSAS,AR,1,5111.0,REPUBLICAN,6933
210,ARKANSAS,AR,1,5117.0,REPUBLICAN,3130
211,ARKANSAS,AR,1,5121.0,REPUBLICAN,6227
212,ARKANSAS,AR,1,5123.0,REPUBLICAN,5192
213,ARKANSAS,AR,1,5129.0,REPUBLICAN,3344
214,ARKANSAS,AR,1,5135.0,REPUBLICAN,6855
215,ARKANSAS,AR,1,5137.0,REPUBLICAN,5293
216,ARKANSAS,AR,1,5147.0,REPUBLICAN,2155
217,ARKANSAS,AR,2,5029.0,DEMOCRAT,2822
218,ARKANSAS,AR,2,5029.0,REPUBLICAN,5850
219,ARKANSAS,AR,2,5045.0,DEMOCRAT,19017
220,ARKANSAS,AR,2,5045.0,REPUBLICAN,35279
221,ARKANSAS,AR,2,5105.0,DEMOCRAT,1066
222,ARKANSAS,AR,2,5105.0,REPUBLICAN,3542
223,ARKANSAS,AR,2,5119.0,DEMOCRAT,101339
224,ARKANSAS,AR,2,5119.0,REPUBLICAN,68154
225,ARKANSAS,AR,2,5125.0,DEMOCRAT,16256
226,ARKANSAS,AR,2,5125.0,REPUBLICAN,40612
227,ARKANSAS,AR,2,5141.0,DEMOCRAT,1678
228,ARKANSAS,AR,2,5141.0,REPUBLICAN,6072
229,ARKANSAS,AR,2,5145.0,DEMOCRAT,6232
230,ARKANSAS,AR,2,5145.0,REPUBLICAN,24584
231,ARKANSAS,AR,3,5007.0,DEMOCRAT,37491
232,ARKANSAS,AR,3,5007.0,LIBERTARIAN,5161
233,ARKANSAS,AR,3,5007.0,REPUBLICAN,76899
234,ARKANSAS,AR,3,5009.0,DEMOCRAT,2644
235,ARKANSAS,AR,3,5009.0,LIBERTARIAN,473
236,ARKANSAS,AR,3,5009.0,REPUBLICAN,13824
237,ARKANSAS,AR,3,5015.0,DEMOCRAT,3813
238,ARKANSAS,AR,3,5015.0,LIBERTARIAN,301
239,ARKANSAS,AR,3,5015.0,REPUBLICAN,7588
240,ARKANSAS,AR,3,5033.0,DEMOCRAT,3445
241,ARKANSAS,AR,3,5033.0,LIBERTARIAN,590
242,ARKANSAS,AR,3,5033.0,REPUBLICAN,13169
243,ARKANSAS,AR,3,5089.0,DEMOCRAT,1327
244,ARKANSAS,AR,3,5089.0,LIBERTARIAN,195
245,ARKANSAS,AR,3,5089.0,REPUBLICAN,5908
246,ARKANSAS,AR,3,5101.0,DEMOCRAT,235
247,ARKANSAS,AR,3,5101.0,LIBERTARIAN,33
248,ARKANSAS,AR,3,5101.0,REPUBLICAN,1555
249,ARKANSAS,AR,3,5115.0,DEMOCRAT,5117
250,ARKANSAS,AR,3,5115.0,LIBERTARIAN,714
251,ARKANSAS,AR,3,5115.0,REPUBLICAN,18479
252,ARKANSAS,AR,3,5129.0,DEMOCRAT,26
253,ARKANSAS,AR,3,5129.0,LIBERTARIAN,3
254,ARKANSAS,AR,3,5129.0,REPUBLICAN,224
255,ARKANSAS,AR,3,5131.0,DEMOCRAT,12337
256,ARKANSAS,AR,3,5131.0,LIBERTARIAN,1680
257,ARKANSAS,AR,3,5131.0,REPUBLICAN,27307
258,ARKANSAS,AR,3,5143.0,DEMOCRAT,39890
259,ARKANSAS,AR,3,5143.0,LIBERTARIAN,3827
260,ARKANSAS,AR,3,5143.0,REPUBLICAN,50007
261,ARKANSAS,AR,4,5003.0,DEMOCRAT,2092
262,ARKANSAS,AR,4,5003.0,LIBERTARIAN,169
263,ARKANSAS,AR,4,5003.0,REPUBLICAN,5603
264,ARKANSAS,AR,4,5011.0,DEMOCRAT,1124
265,ARKANSAS,AR,4,5011.0,LIBERTARIAN,88
266,ARKANSAS,AR,4,5011.0,REPUBLICAN,2398
267,ARKANSAS,AR,4,5013.0,DEMOCRAT,457
268,ARKANSAS,AR,4,5013.0,LIBERTARIAN,41
269,ARKANSAS,AR,4,5013.0,REPUBLICAN,1649
270,ARKANSAS,AR,4,5019.0,DEMOCRAT,3137
271,ARKANSAS,AR,4,5019.0,LIBERTARIAN,191
272,ARKANSAS,AR,4,5019.0,REPUBLICAN,4967
273,ARKANSAS,AR,4,5025.0,DEMOCRAT,581
274,ARKANSAS,AR,4,5025.0,LIBERTARIAN,77
275,ARKANSAS,AR,4,5025.0,REPUBLICAN,2893
276,ARKANSAS,AR,4,5027.0,DEMOCRAT,2700
277,ARKANSAS,AR,4,5027.0,LIBERTARIAN,165
278,ARKANSAS,AR,4,5027.0,REPUBLICAN,5591
279,ARKANSAS,AR,4,5033.0,DEMOCRAT,1126
280,ARKANSAS,AR,4,5033.0,LIBERTARIAN,243
281,ARKANSAS,AR,4,5033.0,REPUBLICAN,5458
282,ARKANSAS,AR,4,5039.0,DEMOCRAT,928
283,ARKANSAS,AR,4,5039.0,LIBERTARIAN,58
284,ARKANSAS,AR,4,5039.0,REPUBLICAN,1615
285,ARKANSAS,AR,4,5043.0,DEMOCRAT,2221
286,ARKANSAS,AR,4,5043.0,LIBERTARIAN,170
287,ARKANSAS,AR,4,5043.0,REPUBLICAN,4447
288,ARKANSAS,AR,4,5047.0,DEMOCRAT,1171
289,ARKANSAS,AR,4,5047.0,LIBERTARIAN,180
290,ARKANSAS,AR,4,5047.0,REPUBLICAN,5689
291,ARKANSAS,AR,4,5051.0,DEMOCRAT,11800
292,ARKANSAS,AR,4,5051.0,LIBERTARIAN,1428
293,ARKANSAS,AR,4,5051.0,REPUBLICAN,30747
294,ARKANSAS,AR,4,5053.0,DEMOCRAT,1112
295,ARKANSAS,AR,4,5053.0,LIBERTARIAN,264
296,ARKANSAS,AR,4,5053.0,REPUBLICAN,6763
297,ARKANSAS,AR,4,5057.0,DEMOCRAT,2094
298,ARKANSAS,AR,4,5057.0,LIBERTARIAN,148
299,ARKANSAS,AR,4,5057.0,REPUBLICAN,4528
300,ARKANSAS,AR,4,5059.0,DEMOCRAT,2812
301,ARKANSAS,AR,4,5059.0,LIBERTARIAN,360
302,ARKANSAS,AR,4,5059.0,REPUBLICAN,9316
303,ARKANSAS,AR,4,5061.0,DEMOCRAT,1265
304,ARKANSAS,AR,4,5061.0,LIBERTARIAN,96
305,ARKANSAS,AR,4,5061.0,REPUBLICAN,3393
306,ARKANSAS,AR,4,5069.0,DEMOCRAT,13682
307,ARKANSAS,AR,4,5069.0,LIBERTARIAN,686
308,ARKANSAS,AR,4,5069.0,REPUBLICAN,9815
309,ARKANSAS,AR,4,5071.0,DEMOCRAT,2094
310,ARKANSAS,AR,4,5071.0,LIBERTARIAN,369
311,ARKANSAS,AR,4,5071.0,REPUBLICAN,6937
312,ARKANSAS,AR,4,5073.0,DEMOCRAT,841
313,ARKANSAS,AR,4,5073.0,LIBERTARIAN,41
314,ARKANSAS,AR,4,5073.0,REPUBLICAN,1747
315,ARKANSAS,AR,4,5081.0,DEMOCRAT,1235
316,ARKANSAS,AR,4,5081.0,LIBERTARIAN,99
317,ARKANSAS,AR,4,5081.0,REPUBLICAN,3775
318,ARKANSAS,AR,4,5083.0,DEMOCRAT,1391
319,ARKANSAS,AR,4,5083.0,LIBERTARIAN,293
