cumulative_percentage,,-0.05 | 0.05,-0.1 | -0.05,-0.2 | -0.1,-0.3 | -0.2,-0.5 | -0.3,-0.75 | -0.5,-1 | -0.75,0.05 | 0.1,0.1 | 0.2,0.2 | 0.3,0.3 | 0.5,0.5 | 0.75,0.75 | 1
0.0121951219512195,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0667938931297709,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0727595385980479,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0739030023094688,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0776979959275533,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0827338129496402,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0941005006019897,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.095209741284349,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0952380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0957171549025639,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.099926793557833,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1007149518184644,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1040644709180098,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1049096073215815,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1058823529411764,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.10656219240331,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1068883610451306,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1100078390384112,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1134251576501825,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1147610921501706,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.1153615541431826,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.11567920702861,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.117708880714661,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.1180648024855747,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1212608249711862,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.1222305469335331,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.1227705627705627,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1228731942215088,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1229615745079662,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1248009554140127,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.126299877356607,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1274961597542242,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.130517503805175,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1312852514100564,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1313032089063523,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1330977620730271,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1352357320099255,0,0,0,0,0,0,0,0,0,0,0,0,0,1
