state,state_po,district,party_simplified,votes,county_fips,jurisdiction_fips,year,special,writein,state_fips,state_cen,state_ic,readme_check,magnitude
CALIFORNIA,CA,8,DEMOCRAT,124400,16675017.0,16675017.0,5548940,0,0,16482,255471,195037,2747,2747
CALIFORNIA,CA,8,REPUBLICAN,158711,16675017.0,16675017.0,5548940,0,0,16482,255471,195037,2747,2747
CALIFORNIA,CA,9,DEMOCRAT,174252,4254740.0,4254740.0,1422080,0,0,4224,65472,49984,704,704
CALIFORNIA,CA,9,REPUBLICAN,128358,4254740.0,4254740.0,1422080,0,0,4224,65472,49984,704,704
CALIFORNIA,CA,10,DEMOCRAT,166865,1790862.0,1790862.0,593880,0,0,1764,27342,20874,294,294
CALIFORNIA,CA,10,REPUBLICAN,135629,1790862.0,1790862.0,593880,0,0,1764,27342,20874,294,294
CALIFORNIA,CA,11,DEMOCRAT,271063,7227626.0,7227626.0,2428040,0,0,7212,111786,85342,1202,1202
CALIFORNIA,CA,11,REPUBLICAN,100293,7227626.0,7227626.0,2428040,0,0,7212,111786,85342,1202,1202
CALIFORNIA,CA,12,DEMOCRAT,362950,12976200.0,12976200.0,4314720,0,0,12816,198648,151656,2136,2136
CALIFORNIA,CA,13,DEMOCRAT,327863,2280528.0,2280528.0,767600,0,0,2280,35340,26980,380,380
CALIFORNIA,CA,13,REPUBLICAN,34955,2280528.0,2280528.0,767600,0,0,2280,35340,26980,380,380
CALIFORNIA,CA,14,DEMOCRAT,278300,4389594.0,4389594.0,1458440,0,0,4332,67146,51262,722,722
CALIFORNIA,CA,14,REPUBLICAN,72705,4389594.0,4389594.0,1458440,0,0,4332,67146,51262,722,722
CALIFORNIA,CA,15,DEMOCRAT,242991,4334402.0,4334402.0,1458440,0,0,4332,67146,51262,722,722
CALIFORNIA,CA,15,REPUBLICAN,99710,4334402.0,4334402.0,1458440,0,0,4332,67146,51262,722,722
CALIFORNIA,CA,16,DEMOCRAT,128690,3753722.0,3753722.0,1256440,0,0,3732,57846,44162,622,622
CALIFORNIA,CA,16,REPUBLICAN,88039,3753722.0,3753722.0,1256440,0,0,3732,57846,44162,622,622
CALIFORNIA,CA,17,DEMOCRAT,212137,2268902.0,2268902.0,755480,0,0,2244,34782,26554,374,374
CALIFORNIA,CA,17,REPUBLICAN,85199,2268902.0,2268902.0,755480,0,0,2244,34782,26554,374,374
CALIFORNIA,CA,18,DEMOCRAT,344139,9101736.0,9101736.0,3021920,0,0,8976,139128,106216,1496,1496
CALIFORNIA,CA,19,DEMOCRAT,224385,2859950.0,2859950.0,949400,0,0,2820,43710,33370,470,470
CALIFORNIA,CA,19,REPUBLICAN,88642,2859950.0,2859950.0,949400,0,0,2820,43710,33370,470,470
CALIFORNIA,CA,20,DEMOCRAT,236896,4453086.0,4453086.0,1482680,0,0,4404,68262,52114,734,734
CALIFORNIA,CA,20,REPUBLICAN,71658,4453086.0,4453086.0,1482680,0,0,4404,68262,52114,734,734
CALIFORNIA,CA,21,DEMOCRAT,84406,5923446.0,5923446.0,1983640,0,0,5892,91326,69722,982,982
CALIFORNIA,CA,21,REPUBLICAN,85928,5923446.0,5923446.0,1983640,0,0,5892,91326,69722,982,982
CALIFORNIA,CA,22,DEMOCRAT,144251,3141602.0,3141602.0,1046360,0,0,3108,48174,36778,518,518
CALIFORNIA,CA,22,REPUBLICAN,170888,3141602.0,3141602.0,1046360,0,0,3108,48174,36778,518,518
CALIFORNIA,CA,23,DEMOCRAT,115896,7432286.0,7432286.0,2484600,0,0,7380,114390,87330,1230,1230
CALIFORNIA,CA,23,REPUBLICAN,190222,7432286.0,7432286.0,2484600,0,0,7380,114390,87330,1230,1230
CALIFORNIA,CA,24,DEMOCRAT,212564,4416762.0,4416762.0,1466520,0,0,4356,67518,51546,726,726
CALIFORNIA,CA,24,REPUBLICAN,149781,4416762.0,4416762.0,1466520,0,0,4356,67518,51546,726,726
CALIFORNIA,CA,25,DEMOCRAT,169305,5393588.0,5393588.0,1801840,0,0,5352,82956,63332,892,892
CALIFORNIA,CA,25,REPUBLICAN,169638,5393588.0,5393588.0,1801840,0,0,5352,82956,63332,892,892
CALIFORNIA,CA,26,DEMOCRAT,208856,7527864.0,7527864.0,2488640,0,0,7392,114576,87472,1232,1232
CALIFORNIA,CA,26,REPUBLICAN,135877,7527864.0,7527864.0,2488640,0,0,7392,114576,87472,1232,1232
CALIFORNIA,CA,27,DEMOCRAT,221411,5048496.0,5048496.0,1688720,0,0,5016,77748,59356,836,836
CALIFORNIA,CA,27,REPUBLICAN,95907,5048496.0,5048496.0,1688720,0,0,5016,77748,59356,836,836
CALIFORNIA,CA,28,DEMOCRAT,244271,3344498.0,3344498.0,1119080,0,0,3324,51522,39334,554,554
CALIFORNIA,CA,28,REPUBLICAN,91928,3344498.0,3344498.0,1119080,0,0,3324,51522,39334,554,554
CALIFORNIA,CA,29,DEMOCRAT,210944,5457448.0,5457448.0,1826080,0,0,5424,84072,64184,904,904
CALIFORNIA,CA,30,DEMOCRAT,240038,2922204.0,2922204.0,977680,0,0,2904,45012,34364,484,484
CALIFORNIA,CA,30,REPUBLICAN,105426,2922204.0,2922204.0,977680,0,0,2904,45012,34364,484,484
CALIFORNIA,CA,31,DEMOCRAT,175315,7710170.0,7710170.0,2565400,0,0,7620,118110,90170,1270,1270
CALIFORNIA,CA,31,REPUBLICAN,110735,7710170.0,7710170.0,2565400,0,0,7620,118110,90170,1270,1270
CALIFORNIA,CA,32,DEMOCRAT,172942,5578188.0,5578188.0,1866480,0,0,5544,85932,65604,924,924
CALIFORNIA,CA,32,REPUBLICAN,86818,5578188.0,5578188.0,1866480,0,0,5544,85932,65604,924,924
CALIFORNIA,CA,33,DEMOCRAT,257094,3272054.0,3272054.0,1094840,0,0,3252,50406,38482,542,542
CALIFORNIA,CA,33,REPUBLICAN,123334,3272054.0,3272054.0,1094840,0,0,3252,50406,38482,542,542
CALIFORNIA,CA,34,DEMOCRAT,205346,4225900.0,4225900.0,1414000,0,0,4200,65100,49700,700,700
CALIFORNIA,CA,35,DEMOCRAT,169405,4378366.0,4378366.0,1458440,0,0,4332,67146,51262,722,722
CALIFORNIA,CA,35,REPUBLICAN,74941,4378366.0,4378366.0,1458440,0,0,4332,67146,51262,722,722
CALIFORNIA,CA,36,DEMOCRAT,185151,4306150.0,4306150.0,1434200,0,0,4260,66030,50410,710,710
CALIFORNIA,CA,36,REPUBLICAN,121698,4306150.0,4306150.0,1434200,0,0,4260,66030,50410,710,710
CALIFORNIA,CA,37,DEMOCRAT,254916,3103018.0,3103018.0,1038280,0,0,3084,47802,36494,514,514
CALIFORNIA,CA,37,REPUBLICAN,41705,3103018.0,3103018.0,1038280,0,0,3084,47802,36494,514,514
CALIFORNIA,CA,38,DEMOCRAT,256206,9346068.0,9346068.0,3126960,0,0,9288,143964,109908,1548,1548
CALIFORNIA,CA,39,DEMOCRAT,169837,4867812.0,4867812.0,1624080,0,0,4824,74772,57084,804,804
CALIFORNIA,CA,39,REPUBLICAN,173946,4867812.0,4867812.0,1624080,0,0,4824,74772,57084,804,804
CALIFORNIA,CA,40,DEMOCRAT,135572,2837390.0,2837390.0,949400,0,0,2820,43710,33370,470,470
CALIFORNIA,CA,40,REPUBLICAN,50809,2837390.0,2837390.0,949400,0,0,2820,43710,33370,470,470
CALIFORNIA,CA,41,DEMOCRAT,168126,2025710.0,2025710.0,674680,0,0,2004,31062,23714,334,334
CALIFORNIA,CA,41,REPUBLICAN,94447,2025710.0,2025710.0,674680,0,0,2004,31062,23714,334,334
CALIFORNIA,CA,42,DEMOCRAT,157773,3857340.0,3857340.0,1284720,0,0,3816,59148,45156,636,636
CALIFORNIA,CA,42,REPUBLICAN,210274,3857340.0,3857340.0,1284720,0,0,3816,59148,45156,636,636
CALIFORNIA,CA,43,DEMOCRAT,199210,3803310.0,3803310.0,1272600,0,0,3780,58590,44730,630,630
CALIFORNIA,CA,43,REPUBLICAN,78688,3803310.0,3803310.0,1272600,0,0,3780,58590,44730,630,630
CALIFORNIA,CA,44,DEMOCRAT,206036,7606620.0,7606620.0,2545200,0,0,7560,117180,89460,1260,1260
CALIFORNIA,CA,45,DEMOCRAT,221843,6555838.0,6555838.0,2185640,0,0,6492,100626,76822,1082,1082
CALIFORNIA,CA,45,REPUBLICAN,193096,6555838.0,6555838.0,2185640,0,0,6492,100626,76822,1082,1082
CALIFORNIA,CA,46,DEMOCRAT,157803,2884084.0,2884084.0,961520,0,0,2856,44268,33796,476,476
CALIFORNIA,CA,46,REPUBLICAN,71716,2884084.0,2884084.0,961520,0,0,2856,44268,33796,476,476
CALIFORNIA,CA,47,DEMOCRAT,197028,3858866.0,3858866.0,1288760,0,0,3828,59334,45298,638,638
CALIFORNIA,CA,47,REPUBLICAN,114371,3858866.0,3858866.0,1288760,0,0,3828,59334,45298,638,638
CALIFORNIA,CA,48,DEMOCRAT,193362,5634870.0,5634870.0,1878600,0,0,5580,86490,66030,930,930
CALIFORNIA,CA,48,REPUBLICAN,201738,5634870.0,5634870.0,1878600,0,0,5580,86490,66030,930,930
CALIFORNIA,CA,49,DEMOCRAT,205349,5911938.0,5911938.0,1967480,0,0,5844,90582,69154,974,974
CALIFORNIA,CA,49,REPUBLICAN,181157,5911938.0,5911938.0,1967480,0,0,5844,90582,69154,974,974
CALIFORNIA,CA,50,DEMOCRAT,166869,5829696.0,5829696.0,1939200,0,0,5760,89280,68160,960,960
CALIFORNIA,CA,50,REPUBLICAN,195521,5829696.0,5829696.0,1939200,0,0,5760,89280,68160,960,960
CALIFORNIA,CA,51,DEMOCRAT,165596,4339486.0,4339486.0,1450360,0,0,4308,66774,50978,718,718
CALIFORNIA,CA,51,REPUBLICAN,76841,4339486.0,4339486.0,1450360,0,0,4308,66774,50978,718,718
CALIFORNIA,CA,52,DEMOCRAT,244145,2332032.0,2332032.0,775680,0,0,2304,35712,27264,384,384
CALIFORNIA,CA,52,REPUBLICAN,152350,2332032.0,2332032.0,775680,0,0,2304,35712,27264,384,384
CALIFORNIA,CA,53,DEMOCRAT,334858,6097292.0,6097292.0,2028080,0,0,6024,93372,71284,1004,1004
COLORADO,CO,1,DEMOCRAT,331621,3477365.0,3477365.0,874660,0,0,3464,36372,26846,0,433
COLORADO,CO,1,LIBERTARIAN,8749,3477365.0,3477365.0,874660,0,0,3464,36372,26846,0,433
COLORADO,CO,1,OTHER,3965,6954730.0,6954730.0,1749320,0,0,6928,72744,53692,0,866
COLORADO,CO,1,REPUBLICAN,105955,3477365.0,3477365.0,874660,0,0,3464,36372,26846,0,433
COLORADO,CO,2,DEMOCRAT,316925,4328543.0,4328543.0,1086760,0,0,4304,45192,33356,0,538
COLORADO,CO,2,LIBERTARIAN,13657,4328543.0,4328543.0,1086760,0,0,4304,45192,33356,0,538
COLORADO,CO,2,OTHER,2534,4328543.0,4328543.0,1086760,0,0,4304,45192,33356,0,538
COLORADO,CO,2,REPUBLICAN,182547,4328543.0,4328543.0,1086760,0,0,4304,45192,33356,0,538
COLORADO,CO,3,DEMOCRAT,194122,3908236.0,3908236.0,977680,0,0,3872,40656,30008,0,484
COLORADO,CO,3,LIBERTARIAN,10298,3908236.0,3908236.0,977680,0,0,3872,40656,30008,0,484
COLORADO,CO,3,OTHER,4265,3908236.0,3908236.0,977680,0,0,3872,40656,30008,0,484
COLORADO,CO,3,REPUBLICAN,220634,3908236.0,3908236.0,977680,0,0,3872,40656,30008,0,484
COLORADO,CO,4,DEMOCRAT,173945,4277504.0,4277504.0,1070600,0,0,4240,44520,32860,0,530
COLORADO,CO,4,LIBERTARIAN,11026,4277504.0,4277504.0,1070600,0,0,4240,44520,32860,0,530
COLORADO,CO,4,OTHER,4530,4277504.0,4277504.0,1070600,0,0,4240,44520,32860,0,530
COLORADO,CO,4,REPUBLICAN,285606,4277504.0,4277504.0,1070600,0,0,4240,44520,32860,0,530
COLORADO,CO,5,DEMOCRAT,161600,2823647.0,2823647.0,709020,0,0,2808,29484,21762,0,351
COLORADO,CO,5,LIBERTARIAN,14777,2823647.0,2823647.0,709020,0,0,2808,29484,21762,0,351
COLORADO,CO,5,NONPARTISAN,3708,2823647.0,2823647.0,709020,0,0,2808,29484,21762,0,351
COLORADO,CO,5,OTHER,3309,2823647.0,2823647.0,709020,0,0,2808,29484,21762,0,351
COLORADO,CO,5,REPUBLICAN,249013,2823647.0,2823647.0,709020,0,0,2808,29484,21762,0,351
COLORADO,CO,6,DEMOCRAT,250314,3787669.0,3787669.0,955460,0,0,3784,39732,29326,0,473
