,state,state_po,county_fips,party_simplified,votes,totalVotes_x,totalStateVotes,totalVotes_y,votePercentage
67,ALABAMA,AL,1075.0,DEMOCRAT,943,7111,7111,14222,0.13261144705386022
68,ALABAMA,AL,1075.0,REPUBLICAN,6168,7111,7111,14222,0.8673885529461398
69,ALABAMA,AL,1077.0,REPUBLICAN,33023,33023,33023,33023,1.0
70,ALABAMA,AL,1079.0,DEMOCRAT,3471,15758,15758,31516,0.22026906967889326
71,ALABAMA,AL,1079.0,REPUBLICAN,12287,15758,15758,31516,0.7797309303211067
72,ALABAMA,AL,1081.0,DEMOCRAT,26320,70555,70555,141110,0.3730423074197435
73,ALABAMA,AL,1081.0,REPUBLICAN,44235,70555,70555,141110,0.6269576925802566
74,ALABAMA,AL,1083.0,REPUBLICAN,37371,37371,37371,37371,1.0
75,ALABAMA,AL,1085.0,DEMOCRAT,5238,5238,5238,5238,1.0
76,ALABAMA,AL,1087.0,DEMOCRAT,6810,8608,8608,17216,0.7911245353159851
77,ALABAMA,AL,1087.0,REPUBLICAN,1798,8608,8608,17216,0.20887546468401488
78,ALABAMA,AL,1089.0,REPUBLICAN,121634,121634,121634,121634,1.0
79,ALABAMA,AL,1091.0,DEMOCRAT,6399,6399,6399,6399,1.0
80,ALABAMA,AL,1093.0,DEMOCRAT,1462,13708,13708,27416,0.10665304931426904
81,ALABAMA,AL,1093.0,REPUBLICAN,12246,13708,13708,27416,0.893346950685731
82,ALABAMA,AL,1095.0,DEMOCRAT,5642,39216,39216,78432,0.14386984904120767
83,ALABAMA,AL,1095.0,REPUBLICAN,33574,39216,39216,78432,0.8561301509587923
84,ALABAMA,AL,1097.0,DEMOCRAT,79335,181197,181197,362394,0.4378383748075299
85,ALABAMA,AL,1097.0,REPUBLICAN,101862,181197,181197,362394,0.56216162519247
86,ALABAMA,AL,1099.0,DEMOCRAT,4519,10563,10563,21126,0.4278140679731137
87,ALABAMA,AL,1099.0,REPUBLICAN,6044,10563,10563,21126,0.5721859320268863
88,ALABAMA,AL,1101.0,DEMOCRAT,63536,96962,96962,175672,0.6552670118190631
89,ALABAMA,AL,1101.0,REPUBLICAN,33426,78710,96962,175672,0.34473298818093684
90,ALABAMA,AL,1103.0,REPUBLICAN,41646,41646,41646,41646,1.0
91,ALABAMA,AL,1105.0,DEMOCRAT,4119,4119,4119,4119,1.0
92,ALABAMA,AL,1107.0,DEMOCRAT,5070,5070,5070,5070,1.0
93,ALABAMA,AL,1109.0,DEMOCRAT,5468,13652,13652,27304,0.4005273952534427
94,ALABAMA,AL,1109.0,REPUBLICAN,8184,13652,13652,27304,0.5994726047465573
95,ALABAMA,AL,1111.0,DEMOCRAT,2134,10650,10650,21300,0.20037558685446008
96,ALABAMA,AL,1111.0,REPUBLICAN,8516,10650,10650,21300,0.7996244131455399
97,ALABAMA,AL,1113.0,DEMOCRAT,10916,21087,21087,42174,0.5176649120311092
98,ALABAMA,AL,1113.0,REPUBLICAN,10171,21087,21087,42174,0.4823350879688908
99,ALABAMA,AL,1115.0,DEMOCRAT,7451,43929,43929,87858,0.1696146053859637
100,ALABAMA,AL,1115.0,REPUBLICAN,36478,43929,43929,87858,0.8303853946140363
101,ALABAMA,AL,1117.0,REPUBLICAN,88447,88447,88447,88447,1.0
102,ALABAMA,AL,1119.0,DEMOCRAT,5037,5037,5037,5037,1.0
103,ALABAMA,AL,1121.0,DEMOCRAT,12709,35436,35436,70872,0.3586465741054295
104,ALABAMA,AL,1121.0,REPUBLICAN,22727,35436,35436,70872,0.6413534258945705
105,ALABAMA,AL,1123.0,DEMOCRAT,5552,20765,20765,41530,0.26737298338550447
106,ALABAMA,AL,1123.0,REPUBLICAN,15213,20765,20765,41530,0.7326270166144956
107,ALABAMA,AL,1125.0,DEMOCRAT,42519,66354,66354,97066,0.6407903065376617
108,ALABAMA,AL,1125.0,REPUBLICAN,23835,30712,66354,97066,0.3592096934623384
109,ALABAMA,AL,1127.0,DEMOCRAT,4755,30902,30902,61804,0.1538735356934826
110,ALABAMA,AL,1127.0,REPUBLICAN,26147,30902,30902,61804,0.8461264643065174
111,ALABAMA,AL,1129.0,DEMOCRAT,2378,8668,8668,17336,0.27434240886017536
112,ALABAMA,AL,1129.0,REPUBLICAN,6290,8668,8668,17336,0.7256575911398246
113,ALABAMA,AL,1131.0,DEMOCRAT,4344,4344,4344,4344,1.0
114,ALABAMA,AL,1133.0,DEMOCRAT,983,11176,11176,22352,0.08795633500357909
115,ALABAMA,AL,1133.0,REPUBLICAN,10193,11176,11176,22352,0.9120436649964209
116,ALASKA,AK,nan,DEMOCRAT,159856,351982,351982,703964,0.4541595877061895
117,ALASKA,AK,nan,REPUBLICAN,192126,351982,351982,703964,0.5458404122938105
118,ARIZONA,AZ,4001.0,DEMOCRAT,23605,34715,34715,69430,0.6799654328100245
119,ARIZONA,AZ,4001.0,REPUBLICAN,11110,34715,34715,69430,0.3200345671899755
120,ARIZONA,AZ,4003.0,DEMOCRAT,24288,59084,59084,118168,0.4110757565499966
121,ARIZONA,AZ,4003.0,REPUBLICAN,34796,59084,59084,118168,0.5889242434500034
122,ARIZONA,AZ,4005.0,DEMOCRAT,44842,71642,71642,143284,0.6259177577398732
123,ARIZONA,AZ,4005.0,REPUBLICAN,26800,71642,71642,143284,0.37408224226012676
