,location_key,county,cumulative_confirmed,cumulative_deceased,2020_earlyPop,2020_pop,2021_pop,2022_pop,state,cumulative_percentage,dead_percentage
60,AL,1071,15049.0,241.0,52582.0,52545.0,52694.0,52891.0,Alabama,0.2845285587340001,0.004556540810345806
61,AL,1073,185930.0,2373.0,674355.0,674675.0,669997.0,665409.0,Alabama,0.27942212984795817,0.0035662276885344204
62,AL,1075,3745.0,65.0,13976.0,13956.0,13740.0,13705.0,Alabama,0.273257935060197,0.0047427946005107625
63,AL,1077,24193.0,397.0,93565.0,94025.0,94862.0,95878.0,Alabama,0.25233108742360083,0.0041406787792820044
64,AL,1079,7682.0,160.0,33077.0,33089.0,33123.0,33214.0,Alabama,0.2312880110796652,0.004817245739748299
65,AL,1081,37888.0,341.0,174244.0,174742.0,177655.0,180773.0,Alabama,0.20958882133946993,0.0018863436464516272
66,AL,1083,25065.0,293.0,103563.0,104190.0,107381.0,110900.0,Alabama,0.22601442741208297,0.002642019837691614
67,AL,1085,2628.0,77.0,10310.0,10273.0,9926.0,9777.0,Alabama,0.26879410862227676,0.00787562647028741
68,AL,1087,3885.0,85.0,19534.0,19473.0,18906.0,18516.0,Alabama,0.20981853532080363,0.004590624324908188
69,AL,1089,90395.0,968.0,388160.0,390502.0,396593.0,403565.0,Alabama,0.2239911786205444,0.0023986222789389566
70,AL,1091,5196.0,108.0,19324.0,19266.0,18961.0,18745.0,Alabama,0.2771939183782342,0.0057615364097092555
71,AL,1093,8157.0,152.0,29341.0,29166.0,29006.0,29156.0,Alabama,0.27977088763890795,0.005213335162573741
72,AL,1095,27438.0,394.0,97611.0,97696.0,98316.0,99423.0,Alabama,0.2759723605202016,0.003962865735292639
73,AL,1097,113300.0,1653.0,414812.0,414353.0,413017.0,411411.0,Alabama,0.27539370605064034,0.004017879930288689
74,AL,1099,5276.0,80.0,19770.0,19704.0,19557.0,19404.0,Alabama,0.27190270047412907,0.0041228612657184084
75,AL,1101,55316.0,948.0,228948.0,228322.0,226953.0,226361.0,Alabama,0.24437071757060624,0.0041880005831393214
76,AL,1103,36167.0,518.0,123421.0,123288.0,123403.0,124211.0,Alabama,0.291173889591099,0.004170323079276393
77,AL,1105,2096.0,47.0,8515.0,8458.0,8317.0,8035.0,Alabama,0.2608587429993777,0.005849408836341008
78,AL,1107,5271.0,102.0,19124.0,18922.0,18615.0,18697.0,Alabama,0.2819168850617746,0.005455420655720169
79,AL,1109,7590.0,134.0,33008.0,32906.0,32740.0,33014.0,Alabama,0.22990246562064579,0.004058884109771612
80,AL,1111,5092.0,75.0,21970.0,22092.0,22199.0,22479.0,Alabama,0.22652253214110948,0.0033364473508608033
81,AL,1113,10112.0,93.0,59187.0,59259.0,58668.0,58555.0,Alabama,0.1726923405345402,0.001588250362906669
82,AL,1115,25395.0,416.0,91471.0,91652.0,92903.0,93932.0,Alabama,0.27035515053442916,0.0044287356811310305
83,AL,1117,61273.0,452.0,223034.0,223881.0,227428.0,230115.0,Alabama,0.26627121221997696,0.001964235273667514
84,AL,1119,2594.0,51.0,12348.0,12196.0,11961.0,11853.0,Alabama,0.2188475491436767,0.004302708175145533
85,AL,1121,22396.0,377.0,82152.0,81428.0,80483.0,80704.0,Alabama,0.2775079302141158,0.0046713917525773195
86,AL,1123,11445.0,234.0,41316.0,41286.0,41132.0,40977.0,Alabama,0.27930302364741194,0.005710520535910389
87,AL,1125,56301.0,786.0,227041.0,231534.0,235668.0,236780.0,Alabama,0.23777768392600726,0.0033195371230678268
88,AL,1127,18767.0,447.0,65342.0,65132.0,64629.0,64339.0,Alabama,0.291689333063927,0.006947574565970873
89,AL,1129,3736.0,59.0,15388.0,15327.0,15234.0,15122.0,Alabama,0.24705726755720142,0.003901600317418331
90,AL,1131,2892.0,46.0,10601.0,10432.0,10331.0,10059.0,Alabama,0.28750372800477186,0.0045730191867978925
91,AL,1133,7576.0,131.0,23544.0,23488.0,23672.0,23755.0,Alabama,0.318922332140602,0.005514628499263313
92,AR,5001,5696.0,79.0,17150.0,17107.0,16683.0,16512.0,Arkansas,0.3449612403100775,0.004784399224806201
93,AR,5003,5115.0,66.0,19064.0,18962.0,18649.0,18354.0,Arkansas,0.2786858450474011,0.0035959463877084014
94,AR,5005,8848.0,247.0,41633.0,41687.0,42171.0,42435.0,Arkansas,0.20850712854954637,0.005820666902321197
95,AR,5007,67110.0,849.0,284329.0,286586.0,294337.0,302863.0,Arkansas,0.22158533726470384,0.0028032476730402854
96,AR,5009,9468.0,180.0,37372.0,37383.0,37890.0,38284.0,Arkansas,0.24730958102601608,0.004701703061331104
97,AR,5011,2997.0,49.0,10540.0,10488.0,10332.0,10135.0,Arkansas,0.2957079427725703,0.004834731129748397
98,AR,5013,965.0,10.0,4742.0,4738.0,4737.0,4695.0,Arkansas,0.2055378061767838,0.002129925452609159
99,AR,5015,6138.0,102.0,28260.0,28242.0,28480.0,28742.0,Arkansas,0.21355507619511516,0.003548813582910027
100,AR,5017,2778.0,60.0,10212.0,10157.0,10071.0,9873.0,Arkansas,0.28137344272257675,0.006077180188392586
101,AR,5019,5379.0,79.0,21447.0,21387.0,21217.0,21250.0,Arkansas,0.2531294117647059,0.0037176470588235295
102,AR,5021,4154.0,93.0,14548.0,14528.0,14370.0,14265.0,Arkansas,0.29120224325271643,0.006519453207150368
103,AR,5023,6466.0,128.0,24705.0,24696.0,25044.0,25284.0,Arkansas,0.255734852080367,0.005062490112323999
104,AR,5025,2269.0,36.0,7548.0,7550.0,7490.0,7467.0,Arkansas,0.30387036293022635,0.004821213338690237
105,AR,5027,5438.0,95.0,22798.0,22742.0,22510.0,22216.0,Arkansas,0.24477853799063737,0.004276197335253871
106,AR,5029,5491.0,65.0,20709.0,20729.0,20911.0,21046.0,Arkansas,0.26090468497576735,0.0030884728689537203
107,AR,5031,37767.0,329.0,111233.0,111603.0,111788.0,113017.0,Arkansas,0.33417096542997954,0.0029110664767247403
108,AR,5033,15884.0,249.0,60130.0,60147.0,60423.0,61075.0,Arkansas,0.2600736799017601,0.004076954564060581
109,AR,5035,14315.0,226.0,48169.0,48086.0,47475.0,47061.0,Arkansas,0.30417968168972187,0.0048022778946473724
110,AR,5037,4836.0,83.0,16830.0,16796.0,16693.0,16601.0,Arkansas,0.2913077525450274,0.004999698813324498
111,AR,5039,1747.0,31.0,6479.0,6442.0,6306.0,6191.0,Arkansas,0.2821838152156356,0.005007268615732515
112,AR,5041,3030.0,41.0,11395.0,11320.0,11050.0,10771.0,Arkansas,0.2813109274904837,0.003806517500696314
113,AR,5043,4687.0,70.0,17348.0,17314.0,17070.0,16911.0,Arkansas,0.2771568801371888,0.004139317603926438
114,AR,5045,35251.0,316.0,123498.0,123811.0,125645.0,127665.0,Arkansas,0.2761210981866604,0.0024752281361375473
115,AR,5047,3818.0,73.0,17101.0,17135.0,17166.0,17271.0,Arkansas,0.22106421168432633,0.004226738463320016
116,AR,5049,2696.0,90.0,12077.0,12057.0,12156.0,12382.0,Arkansas,0.21773542238733645,0.007268615732514941
117,AR,5051,23359.0,510.0,100172.0,100249.0,100386.0,100089.0,Arkansas,0.23338228976211173,0.005095465036117855
118,AR,5053,4468.0,61.0,17966.0,18022.0,18149.0,18160.0,Arkansas,0.2460352422907489,0.0033590308370044053
119,AR,5055,16088.0,173.0,45740.0,45864.0,46349.0,46448.0,Arkansas,0.34636582845332414,0.003724595246296934
120,AR,5057,4571.0,68.0,20062.0,19981.0,19679.0,19453.0,Arkansas,0.23497661029147177,0.0034956047910348017
121,AR,5059,11237.0,136.0,33046.0,33075.0,33108.0,33203.0,Arkansas,0.3384332741017378,0.004096015420293347
122,AR,5061,3763.0,50.0,12784.0,12755.0,12676.0,12557.0,Arkansas,0.2996734888906586,0.003981842796846381
123,AR,5063,10639.0,212.0,37931.0,37936.0,37742.0,37945.0,Arkansas,0.2803794966398735,0.005587033864804322
124,AR,5065,3906.0,70.0,13574.0,13597.0,13928.0,14048.0,Arkansas,0.27804669703872437,0.0049829157175398636
125,AR,5067,6135.0,63.0,16760.0,16755.0,16780.0,16624.0,Arkansas,0.36904475457170355,0.003789701636188643
126,AR,5069,18608.0,277.0,67261.0,66833.0,65649.0,64246.0,Arkansas,0.28963670890016496,0.004311552470192697
127,AR,5071,6830.0,87.0,25749.0,25722.0,25977.0,26001.0,Arkansas,0.262682204530595,0.0033460251528787356
128,AR,5073,1298.0,31.0,6311.0,6299.0,6155.0,6101.0,Arkansas,0.21275200786756268,0.005081134240288478
129,AR,5075,5324.0,78.0,16216.0,16212.0,16316.0,16205.0,Arkansas,0.3285405738969454,0.004813329219376735
130,AR,5077,2912.0,59.0,8597.0,8528.0,8559.0,8364.0,Arkansas,0.3481587757054041,0.007054041128646581
131,AR,5079,4920.0,68.0,12936.0,12889.0,13151.0,12916.0,Arkansas,0.3809228863425209,0.0052647878600185815
132,AR,5081,3281.0,104.0,12028.0,11975.0,11954.0,11821.0,Arkansas,0.2775568902800101,0.008797902038744606
133,AR,5083,5130.0,80.0,21132.0,21103.0,21207.0,21253.0,Arkansas,0.2413776878558321,0.003764174469486661
134,AR,5085,19951.0,243.0,74010.0,74046.0,74766.0,75225.0,Arkansas,0.26521768029245596,0.003230309072781655
135,AR,5087,3975.0,61.0,16521.0,16546.0,16936.0,17486.0,Arkansas,0.22732471691639025,0.0034885050897861146
136,AR,5089,3409.0,88.0,16832.0,16877.0,16970.0,17254.0,Arkansas,0.1975773733626985,0.005100266604845253
137,AR,5091,9596.0,181.0,42595.0,42579.0,42499.0,42552.0,Arkansas,0.22551231434480165,0.004253619101334837
138,AR,5093,13608.0,210.0,40692.0,40544.0,39577.0,38896.0,Arkansas,0.34985602632661456,0.005399012751953929
139,AR,5095,1936.0,35.0,6799.0,6774.0,6660.0,6564.0,Arkansas,0.29494210847044483,0.005332114564290067
140,AR,5097,1525.0,57.0,8486.0,8488.0,8638.0,8556.0,Arkansas,0.17823749415614773,0.006661991584852735
141,AR,5099,2188.0,46.0,8315.0,8285.0,8195.0,8181.0,Arkansas,0.2674489671189341,0.00562278450067229
