state,state_po,county_fips,votes,totalVotes_x,totalStateVotes,totalVotes_y,votePercentage
ARKANSAS,AR,5013.0,2147,6441,6441,19323,0.5551932929669305
ARKANSAS,AR,5015.0,11702,35106,35106,105318,0.32259442830285423
ARKANSAS,AR,5017.0,3001,3001,3001,3001,1.0
ARKANSAS,AR,5019.0,8295,24885,24885,74655,0.22061482820976497
ARKANSAS,AR,5021.0,4797,4797,4797,4797,1.0
ARKANSAS,AR,5023.0,11711,11711,11711,11711,1.0
ARKANSAS,AR,5025.0,3551,10653,10653,31959,0.6510842016333427
ARKANSAS,AR,5027.0,8456,25368,25368,76104,0.34188741721854304
ARKANSAS,AR,5029.0,8672,17344,17344,34688,0.34916974169741694
ARKANSAS,AR,5031.0,34368,34368,34368,34368,1.0
ARKANSAS,AR,5033.0,24031,72093,72093,216279,0.5849111564229537
ARKANSAS,AR,5035.0,12315,12315,12315,12315,1.0
ARKANSAS,AR,5037.0,6189,6189,6189,6189,1.0
ARKANSAS,AR,5039.0,2601,7803,7803,23409,0.2641291810841984
ARKANSAS,AR,5041.0,3161,3161,3161,3161,1.0
ARKANSAS,AR,5043.0,6838,20514,20514,61542,0.3255337818075461
ARKANSAS,AR,5045.0,54296,108592,108592,217184,0.2995064093119198
ARKANSAS,AR,5047.0,7040,21120,21120,63360,0.6417613636363637
ARKANSAS,AR,5049.0,4522,4522,4522,4522,1.0
ARKANSAS,AR,5051.0,43975,131925,131925,395775,0.43085844229675946
ARKANSAS,AR,5053.0,8139,24417,24417,73251,0.6943113404595159
ARKANSAS,AR,5055.0,15064,15064,15064,15064,1.0
ARKANSAS,AR,5057.0,6770,20310,20310,60930,0.3595273264401772
ARKANSAS,AR,5059.0,12488,37464,37464,112392,0.5208199871877002
ARKANSAS,AR,5061.0,4754,14262,14262,42786,0.44762305427008836
ARKANSAS,AR,5063.0,13352,13352,13352,13352,1.0
ARKANSAS,AR,5065.0,5255,5255,5255,5255,1.0
ARKANSAS,AR,5067.0,4453,4453,4453,4453,1.0
ARKANSAS,AR,5069.0,24531,72897,73593,218691,-0.14345114345114346
ARKANSAS,AR,5071.0,9400,28200,28200,84600,0.5152127659574468
ARKANSAS,AR,5073.0,2629,7887,7887,23661,0.3446177253708635
ARKANSAS,AR,5075.0,5428,5428,5428,5428,1.0
ARKANSAS,AR,5077.0,1862,1862,1862,1862,1.0
ARKANSAS,AR,5079.0,3373,3373,3373,3373,1.0
ARKANSAS,AR,5081.0,5109,15327,15327,45981,0.49716187120767275
ARKANSAS,AR,5083.0,8156,24468,24468,73404,0.6229769494850417
ARKANSAS,AR,5085.0,28307,28307,28307,28307,1.0
ARKANSAS,AR,5087.0,7269,21807,21807,65421,0.5468427569129178
ARKANSAS,AR,5089.0,7430,22290,22290,66870,0.6165545087483176
ARKANSAS,AR,5091.0,16357,49071,49071,147213,0.4747203032340893
ARKANSAS,AR,5093.0,10189,10189,10189,10189,1.0
ARKANSAS,AR,5095.0,2336,2336,2336,2336,1.0
ARKANSAS,AR,5097.0,3825,11475,11475,34425,0.6452287581699346
ARKANSAS,AR,5099.0,3324,9972,9972,29916,0.3339350180505415
ARKANSAS,AR,5101.0,3900,11700,11700,35100,0.617948717948718
ARKANSAS,AR,5103.0,9496,28488,28488,85464,0.16733361415332776
ARKANSAS,AR,5105.0,4608,9216,9216,18432,0.5373263888888888
