,CountyName,StateName,CountyFIPS,StateAbbr,STATE_COUNTY
96,Yukon-Koyukuk Census Area,Alaska,02290,AK,AK | YUKON-KOYUKUK CENSUS AREA
97,Apache,Arizona,04001,AZ,AZ | APACHE
98,Cochise,Arizona,04003,AZ,AZ | COCHISE
99,Coconino,Arizona,04005,AZ,AZ | COCONINO
100,Gila,Arizona,04007,AZ,AZ | GILA
101,Graham,Arizona,04009,AZ,AZ | GRAHAM
102,Greenlee,Arizona,04011,AZ,AZ | GREENLEE
103,La Paz,Arizona,04012,AZ,AZ | LA PAZ
104,Maricopa,Arizona,04013,AZ,AZ | MARICOPA
105,Mohave,Arizona,04015,AZ,AZ | MOHAVE
106,Navajo,Arizona,04017,AZ,AZ | NAVAJO
107,Pima,Arizona,04019,AZ,AZ | PIMA
108,Pinal,Arizona,04021,AZ,AZ | PINAL
109,Santa Cruz,Arizona,04023,AZ,AZ | SANTA CRUZ
110,Yavapai,Arizona,04025,AZ,AZ | YAVAPAI
111,Yuma,Arizona,04027,AZ,AZ | YUMA
112,Arkansas,Arkansas,05001,AR,AR | ARKANSAS
113,Ashley,Arkansas,05003,AR,AR | ASHLEY
114,Baxter,Arkansas,05005,AR,AR | BAXTER
115,Benton,Arkansas,05007,AR,AR | BENTON
116,Boone,Arkansas,05009,AR,AR | BOONE
117,Bradley,Arkansas,05011,AR,AR | BRADLEY
118,Calhoun,Arkansas,05013,AR,AR | CALHOUN
119,Carroll,Arkansas,05015,AR,AR | CARROLL
120,Chicot,Arkansas,05017,AR,AR | CHICOT
121,Clark,Arkansas,05019,AR,AR | CLARK
122,Clay,Arkansas,05021,AR,AR | CLAY
123,Cleburne,Arkansas,05023,AR,AR | CLEBURNE
124,Cleveland,Arkansas,05025,AR,AR | CLEVELAND
125,Columbia,Arkansas,05027,AR,AR | COLUMBIA
126,Conway,Arkansas,05029,AR,AR | CONWAY
127,Craighead,Arkansas,05031,AR,AR | CRAIGHEAD
128,Crawford,Arkansas,05033,AR,AR | CRAWFORD
129,Crittenden,Arkansas,05035,AR,AR | CRITTENDEN
130,Cross,Arkansas,05037,AR,AR | CROSS
131,Dallas,Arkansas,05039,AR,AR | DALLAS
132,Desha,Arkansas,05041,AR,AR | DESHA
133,Drew,Arkansas,05043,AR,AR | DREW
134,Faulkner,Arkansas,05045,AR,AR | FAULKNER
135,Franklin,Arkansas,05047,AR,AR | FRANKLIN
136,Fulton,Arkansas,05049,AR,AR | FULTON
137,Garland,Arkansas,05051,AR,AR | GARLAND
138,Grant,Arkansas,05053,AR,AR | GRANT
139,Greene,Arkansas,05055,AR,AR | GREENE
140,Hempstead,Arkansas,05057,AR,AR | HEMPSTEAD
141,Hot Spring,Arkansas,05059,AR,AR | HOT SPRING
142,Howard,Arkansas,05061,AR,AR | HOWARD
143,Independence,Arkansas,05063,AR,AR | INDEPENDENCE
144,Izard,Arkansas,05065,AR,AR | IZARD
145,Jackson,Arkansas,05067,AR,AR | JACKSON
146,Jefferson,Arkansas,05069,AR,AR | JEFFERSON
147,Johnson,Arkansas,05071,AR,AR | JOHNSON
148,Lafayette,Arkansas,05073,AR,AR | LAFAYETTE
149,Lawrence,Arkansas,05075,AR,AR | LAWRENCE
150,Lee,Arkansas,05077,AR,AR | LEE
151,Lincoln,Arkansas,05079,AR,AR | LINCOLN
152,Little River,Arkansas,05081,AR,AR | LITTLE RIVER
153,Logan,Arkansas,05083,AR,AR | LOGAN
154,Lonoke,Arkansas,05085,AR,AR | LONOKE
155,Madison,Arkansas,05087,AR,AR | MADISON
156,Marion,Arkansas,05089,AR,AR | MARION
157,Miller,Arkansas,05091,AR,AR | MILLER
158,Mississippi,Arkansas,05093,AR,AR | MISSISSIPPI
159,Monroe,Arkansas,05095,AR,AR | MONROE
160,Montgomery,Arkansas,05097,AR,AR | MONTGOMERY
161,Nevada,Arkansas,05099,AR,AR | NEVADA
162,Newton,Arkansas,05101,AR,AR | NEWTON
163,Ouachita,Arkansas,05103,AR,AR | OUACHITA
164,Perry,Arkansas,05105,AR,AR | PERRY
165,Phillips,Arkansas,05107,AR,AR | PHILLIPS
166,Pike,Arkansas,05109,AR,AR | PIKE
167,Poinsett,Arkansas,05111,AR,AR | POINSETT
168,Polk,Arkansas,05113,AR,AR | POLK
169,Pope,Arkansas,05115,AR,AR | POPE
170,Prairie,Arkansas,05117,AR,AR | PRAIRIE
171,Pulaski,Arkansas,05119,AR,AR | PULASKI
172,Randolph,Arkansas,05121,AR,AR | RANDOLPH
173,St. Francis,Arkansas,05123,AR,AR | ST. FRANCIS
174,Saline,Arkansas,05125,AR,AR | SALINE
175,Scott,Arkansas,05127,AR,AR | SCOTT
176,Searcy,Arkansas,05129,AR,AR | SEARCY
177,Sebastian,Arkansas,05131,AR,AR | SEBASTIAN
178,Sevier,Arkansas,05133,AR,AR | SEVIER
179,Sharp,Arkansas,05135,AR,AR | SHARP
180,Stone,Arkansas,05137,AR,AR | STONE
181,Union,Arkansas,05139,AR,AR | UNION
182,Van Buren,Arkansas,05141,AR,AR | VAN BUREN
183,Washington,Arkansas,05143,AR,AR | WASHINGTON
184,White,Arkansas,05145,AR,AR | WHITE
185,Woodruff,Arkansas,05147,AR,AR | WOODRUFF
