,state,state_po,district,party_simplified,votes,county_fips,jurisdiction_fips,year,special,writein,state_fips,state_cen,state_ic,readme_check,magnitude,totalVotes,votePercentage
32,ARKANSAS,AR,2,DEMOCRAT,148410,2002978.0,2002978.0,791840,0,0,1960,27832,16464,0,392,332503,0.4463418375172555
33,ARKANSAS,AR,2,REPUBLICAN,184093,2002978.0,2002978.0,791840,0,0,1960,27832,16464,0,392,332503,0.5536581624827445
34,ARKANSAS,AR,3,DEMOCRAT,106325,2717086.0,2717086.0,1078680,0,0,2670,37914,22428,0,534,334262,0.3180888045904111
35,ARKANSAS,AR,3,LIBERTARIAN,12977,2717086.0,2717086.0,1078680,0,0,2670,37914,22428,0,534,334262,0.038822839568960876
36,ARKANSAS,AR,3,REPUBLICAN,214960,2717086.0,2717086.0,1078680,0,0,2670,37914,22428,0,534,334262,0.643088355840628
37,ARKANSAS,AR,4,DEMOCRAT,75750,4406513.0,4406513.0,1755380,0,0,4345,61699,36498,0,869,275035,0.27541949206464633
38,ARKANSAS,AR,4,LIBERTARIAN,7668,4406513.0,4406513.0,1755380,0,0,4345,61699,36498,0,869,275035,0.027880087988801424
39,ARKANSAS,AR,4,REPUBLICAN,191617,4406513.0,4406513.0,1755380,0,0,4345,61699,36498,0,869,275035,0.6967004199465523
40,CALIFORNIA,CA,1,DEMOCRAT,154466,7507596.0,7507596.0,2504800,0,0,7440,115320,88040,1240,1240,358757,0.4305588462385403
41,CALIFORNIA,CA,1,REPUBLICAN,204291,7507596.0,7507596.0,2504800,0,0,7440,115320,88040,1240,1240,358757,0.5694411537614598
42,CALIFORNIA,CA,2,DEMOCRAT,294435,8801980.0,8801980.0,2933040,0,0,8712,135036,103092,1452,1452,388755,0.7573793263109156
43,CALIFORNIA,CA,2,REPUBLICAN,94320,8801980.0,8801980.0,2933040,0,0,8712,135036,103092,1452,1452,388755,0.24262067368908438
44,CALIFORNIA,CA,3,DEMOCRAT,176043,6572897.0,6572897.0,2183620,0,0,6486,100533,76751,1081,1081,321988,0.5467377666248432
45,CALIFORNIA,CA,3,REPUBLICAN,145945,6572897.0,6572897.0,2183620,0,0,6486,100533,76751,1081,1081,321988,0.45326223337515686
46,CALIFORNIA,CA,4,DEMOCRAT,194731,5641886.0,5641886.0,1886680,0,0,5604,86862,66314,934,934,442022,0.440545945676912
47,CALIFORNIA,CA,4,REPUBLICAN,247291,5641886.0,5641886.0,1886680,0,0,5604,86862,66314,934,934,442022,0.559454054323088
48,CALIFORNIA,CA,5,DEMOCRAT,271233,9972802.0,9972802.0,3316840,0,0,9852,152706,116582,1642,1642,356460,0.7609072546709308
49,CALIFORNIA,CA,5,REPUBLICAN,85227,9972802.0,9972802.0,3316840,0,0,9852,152706,116582,1642,1642,356460,0.23909274532906918
50,CALIFORNIA,CA,6,DEMOCRAT,229648,3507462.0,3507462.0,1167560,0,0,3468,53754,41038,578,578,313114,0.7334325517223759
51,CALIFORNIA,CA,6,REPUBLICAN,83466,3507462.0,3507462.0,1167560,0,0,3468,53754,41038,578,578,313114,0.26656744827762413
52,CALIFORNIA,CA,7,DEMOCRAT,217416,4040622.0,4040622.0,1345320,0,0,3996,61938,47286,666,666,383965,0.5662391103355775
53,CALIFORNIA,CA,7,REPUBLICAN,166549,4040622.0,4040622.0,1345320,0,0,3996,61938,47286,666,666,383965,0.43376088966442256
54,CALIFORNIA,CA,8,DEMOCRAT,124400,16675017.0,16675017.0,5548940,0,0,16482,255471,195037,2747,2747,283111,0.4394036261395707
55,CALIFORNIA,CA,8,REPUBLICAN,158711,16675017.0,16675017.0,5548940,0,0,16482,255471,195037,2747,2747,283111,0.5605963738604293
56,CALIFORNIA,CA,9,DEMOCRAT,174252,4254740.0,4254740.0,1422080,0,0,4224,65472,49984,704,704,302610,0.5758302765936354
57,CALIFORNIA,CA,9,REPUBLICAN,128358,4254740.0,4254740.0,1422080,0,0,4224,65472,49984,704,704,302610,0.4241697234063646
58,CALIFORNIA,CA,10,DEMOCRAT,166865,1790862.0,1790862.0,593880,0,0,1764,27342,20874,294,294,302494,0.5516307761476261
59,CALIFORNIA,CA,10,REPUBLICAN,135629,1790862.0,1790862.0,593880,0,0,1764,27342,20874,294,294,302494,0.44836922385237393
60,CALIFORNIA,CA,11,DEMOCRAT,271063,7227626.0,7227626.0,2428040,0,0,7212,111786,85342,1202,1202,371356,0.7299276166266332
61,CALIFORNIA,CA,11,REPUBLICAN,100293,7227626.0,7227626.0,2428040,0,0,7212,111786,85342,1202,1202,371356,0.2700723833733668
62,CALIFORNIA,CA,12,DEMOCRAT,362950,12976200.0,12976200.0,4314720,0,0,12816,198648,151656,2136,2136,362950,1.0
63,CALIFORNIA,CA,13,DEMOCRAT,327863,2280528.0,2280528.0,767600,0,0,2280,35340,26980,380,380,362818,0.9036569299207867
64,CALIFORNIA,CA,13,REPUBLICAN,34955,2280528.0,2280528.0,767600,0,0,2280,35340,26980,380,380,362818,0.09634307007921326
65,CALIFORNIA,CA,14,DEMOCRAT,278300,4389594.0,4389594.0,1458440,0,0,4332,67146,51262,722,722,351005,0.7928661984872011
66,CALIFORNIA,CA,14,REPUBLICAN,72705,4389594.0,4389594.0,1458440,0,0,4332,67146,51262,722,722,351005,0.20713380151279898
